"Day","Primary platform","Goal","Format / length","Hook / on-screen opener","Script / talking points","Visual plan","CTA","Caption","Hashtags","Paid ad use"
"1","TikTok","Awareness + app installs","15 sec vertical","YOUR PC ISN'T SLOW.","Your PC isn't slow. It's under-optimized. Opti Gods scans your hardware, finds relevant tweaks, and keeps changes reversible.","Cinematic lag scene; Opti Gods interface; smooth gaming scene; URL end card.","Download free at OptiGods.com","Windows gaming optimization built for your actual hardware—not a random tweak pack.","#PCOptimization #GamingPC #Windows11 #OptiGods","Yes — Spark Ad after organic engagement"
"2","YouTube Shorts","Search discovery","25 sec vertical","3 Windows settings that can hurt gaming performance","Show background apps, power mode, and startup load. Explain that hardware and Windows version determine what should change.","Fast screen recordings with numbered captions and a short product scan reveal.","Run the free scan","Three Windows settings to check before blaming your GPU. Opti Gods helps match changes to your PC.","#WindowsOptimization #GamingPC #PCPerformance","No"
"3","Instagram Reels","Social proof","18 sec vertical","Laptop gamers: stop accepting bad performance.","Show a clean before/after workflow without promising a fixed FPS result: scan, recommended laptop tweaks, restart, compare.","Polished laptop B-roll; scan UI; side-by-side frame-time graph.","Try the free version","Laptop performance starts with the settings that match your CPU, GPU, RAM, and cooling limits.","#LaptopGaming #PCOptimization #GamingSetup #OptiGods","No"
"4","TikTok","Comments + lead capture","12 sec vertical","Comment your GPU. I'll tell you what to check first.","Call out NVIDIA, AMD, Intel iGPU, and AMD Vega users. Invite one hardware detail per comment.","Creator-style direct-to-camera or bold text over GPU close-ups.","Comment your GPU","Drop your GPU below. I’ll reply with the first Windows or driver setting I would check.","#GamingPC #GPU #PCBuild #TechTok","No"
"5","Instagram Reels","App installs","20 sec vertical","Random tweak packs don't know your PC.","Contrast generic downloaded scripts with Opti Gods hardware detection and review-before-apply workflow.","Split-screen: mystery script versus clean Opti Gods scan and recommendation cards.","Download free","Your optimizer should know your hardware before it changes Windows. Start with a free scan.","#PCGaming #Windows11 #GamingPerformance #OptiGods","Yes — Meta Reels conversion ad"
"6","YouTube Shorts","Trust + objection handling","25 sec vertical","Can Windows tweaks be undone?","Show restore-point readiness, Applied Tweaks, and per-tweak Undo. Explain that risky expert settings are kept separate.","Product screen recording with zooms around Restore and Undo controls.","See how Undo works","A safer optimizer should show what changed and give you a way back.","#WindowsTips #PCOptimization #TechExplained","No"
"7","TikTok","FiveM audience","16 sec vertical","FiveM stutter isn't always your GPU.","Mention background load, power behavior, frame pacing, and game-specific settings. Avoid guaranteed gains.","FiveM-style city driving B-roll; frame-time graph; FiveM profile screen.","Try the FiveM profile","FiveM performance is more than average FPS. Check frame pacing, background load, and the settings that fit your rig.","#FiveM #FiveMPC #GamingOptimization #OptiGods","No"
"8","Instagram Reels","Product education","15 sec vertical","Watch Opti Gods scan a gaming PC.","Show detection of OS, CPU, GPU, RAM, laptop status, and relevant recommendations.","Smooth full-screen UI capture with minimal labels and red/black transitions.","Run your free scan","Your PC first. Recommendations second. Review everything before applying.","#GamingSetup #PCSoftware #WindowsGaming #OptiGods","No"
"9","YouTube Shorts","Search discovery","28 sec vertical","Intel integrated graphics gamers: check these first","Explain shared memory pressure, power mode, thermals, and background applications. Point to dedicated iGPU recommendations.","Laptop and Task Manager captures; Intel iGPU tab; concise numbered overlays.","Scan your laptop free","Integrated graphics need a different optimization strategy than a desktop GPU.","#IntelGraphics #LaptopGaming #WindowsOptimization","No"
"10","TikTok","Contrarian education","14 sec vertical","More tweaks does NOT mean more FPS.","Explain that incompatible or duplicate tweaks can conflict. Matching and review matter more than quantity.","Rapid red X over giant tweak list; clean approved recommendation list.","Use hardware-aware recommendations","The best optimization isn't the biggest script. It's the right changes for your exact PC.","#PCTips #GamingPC #WindowsTweaks #TechTok","No"
"11","Instagram Reels","Social proof","18 sec vertical","What a smoother gaming session actually looks like","Use a verified customer quote or real benchmark capture with hardware and game clearly labeled. Never use an unverified result.","Real customer clip or benchmark; hardware card; testimonial text; product UI.","See verified results","Real hardware. Real settings. Real comparisons. Results vary by system, so we show the context.","#GamingPerformance #PCBuild #GamingCommunity #OptiGods","No"
"12","TikTok","Game-profile installs","15 sec vertical","One game. One profile. No random script.","Show Game Detection finding an installed game and opening its relevant profile.","Fast detection animation; game library; profile selection; apply review.","Try Game Detection","Find your installed games and review the performance profile made for each one.","#PCGaming #GameOptimization #GamingTikTok #OptiGods","Yes — Spark Ad for the best-performing game"
