"Day","Platform","Campaign","Tracked landing URL"
"1","TikTok","og30-d01","https://optigods.com/?utm_source=tiktok&utm_campaign=og30-d01&utm_content=day01"
"2","YouTube Shorts","og30-d02","https://optigods.com/?utm_source=youtube&utm_campaign=og30-d02&utm_content=day02"
"3","Instagram Reels","og30-d03","https://optigods.com/?utm_source=instagram&utm_campaign=og30-d03&utm_content=day03"
"4","TikTok","og30-d04","https://optigods.com/?utm_source=tiktok&utm_campaign=og30-d04&utm_content=day04"
"5","Instagram Reels","og30-d05","https://optigods.com/?utm_source=instagram&utm_campaign=og30-d05&utm_content=day05"
"6","YouTube Shorts","og30-d06","https://optigods.com/?utm_source=youtube&utm_campaign=og30-d06&utm_content=day06"
"7","TikTok","og30-d07","https://optigods.com/?utm_source=tiktok&utm_campaign=og30-d07&utm_content=day07"
"8","Instagram Reels","og30-d08","https://optigods.com/?utm_source=instagram&utm_campaign=og30-d08&utm_content=day08"
"9","YouTube Shorts","og30-d09","https://optigods.com/?utm_source=youtube&utm_campaign=og30-d09&utm_content=day09"
"10","TikTok","og30-d10","https://optigods.com/?utm_source=tiktok&utm_campaign=og30-d10&utm_content=day10"
"11","Instagram Reels","og30-d11","https://optigods.com/?utm_source=instagram&utm_campaign=og30-d11&utm_content=day11"
"12","TikTok","og30-d12","https://optigods.com/?utm_source=tiktok&utm_campaign=og30-d12&utm_content=day12"
"13","YouTube Shorts","og30-d13","https://optigods.com/?utm_source=youtube&utm_campaign=og30-d13&utm_content=day13"
"14","TikTok","og30-d14","https://optigods.com/?utm_source=tiktok&utm_campaign=og30-d14&utm_content=day14"
"15","Instagram Reels","og30-d15","https://optigods.com/?utm_source=instagram&utm_campaign=og30-d15&utm_content=day15"
"16","YouTube Shorts","og30-d16","https://optigods.com/?utm_source=youtube&utm_campaign=og30-d16&utm_content=day16"
"17","TikTok","og30-d17","https://optigods.com/?utm_source=tiktok&utm_campaign=og30-d17&utm_content=day17"
"18","Instagram Reels","og30-d18","https://optigods.com/?utm_source=instagram&utm_campaign=og30-d18&utm_content=day18"
"19","YouTube Shorts","og30-d19","https://optigods.com/?utm_source=youtube&utm_campaign=og30-d19&utm_content=day19"
"20","Instagram Reels","og30-d20","https://optigods.com/?utm_source=instagram&utm_campaign=og30-d20&utm_content=day20"
"21","TikTok","og30-d21","https://optigods.com/?utm_source=tiktok&utm_campaign=og30-d21&utm_content=day21"
"22","YouTube Shorts","og30-d22","https://optigods.com/?utm_source=youtube&utm_campaign=og30-d22&utm_content=day22"
"23","TikTok","og30-d23","https://optigods.com/?utm_source=tiktok&utm_campaign=og30-d23&utm_content=day23"
"24","Instagram Reels","og30-d24","https://optigods.com/?utm_source=instagram&utm_campaign=og30-d24&utm_content=day24"
"25","TikTok","og30-d25","https://optigods.com/?utm_source=tiktok&utm_campaign=og30-d25&utm_content=day25"
"26","YouTube Shorts","og30-d26","https://optigods.com/?utm_source=youtube&utm_campaign=og30-d26&utm_content=day26"
"27","Instagram Reels","og30-d27","https://optigods.com/?utm_source=instagram&utm_campaign=og30-d27&utm_content=day27"
"28","TikTok","og30-d28","https://optigods.com/?utm_source=tiktok&utm_campaign=og30-d28&utm_content=day28"
"29","YouTube Shorts","og30-d29","https://optigods.com/?utm_source=youtube&utm_campaign=og30-d29&utm_content=day29"
"30","TikTok","og30-d30-tiktok","https://optigods.com/?utm_source=tiktok&utm_campaign=og30-d30-tiktok&utm_content=winner"
"30","Instagram Reels","og30-d30-instagram","https://optigods.com/?utm_source=instagram&utm_campaign=og30-d30-instagram&utm_content=winner"
"30","YouTube Shorts","og30-d30-youtube","https://optigods.com/?utm_source=youtube&utm_campaign=og30-d30-youtube&utm_content=winner"
